Dataset;Algoritm;Approach;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score;Accuracy;Sensitivity;Specificity;ROC
commons-bcel;RandomForest;Our;4;EvSm;SMOTE;0.9844559585;0.8913129628;0.9851510555;0.9844559585;0.8717948718;0.9883824844;0.9300886781
commons-bcel;MLP;Our;4;EvSm;SMOTE;0.9559585492;0.7776388863;0.9633527108;0.9559585492;0.8974358974;0.9579982127;0.9277170551
commons-bcel;MLP;Our;4;EvSm;ROS;0.9533678756;0.7699405463;0.9615280857;0.9533678756;0.8974358974;0.9553172475;0.9263765725
commons-bcel;LogistRegression;Our;4;StEv;ROS;0.914507772;0.6874493927;0.9359023306;0.914507772;0.9230769231;0.9142091153;0.9186430192
commons-bcel;LogistRegression;Our;4;AF;ROS;0.9136442142;0.6859814301;0.9353483741;0.9136442142;0.9230769231;0.9133154602;0.9181961917
commons-bcel;RandomForest;Our;4;EvSm;ADA;0.981865285;0.8745997123;0.9827666763;0.981865285;0.8461538462;0.9865951743;0.9163745102
commons-bcel;DT;Our;4;StEv;SMOTE;0.9801381693;0.8656226192;0.9813165332;0.9801381693;0.8461538462;0.9848078642;0.9154808552
commons-bcel;MLP;Our;4;Ev;ROS;0.944;0.741;0.955;0.944;0.872;0.946;0.909
commons-bcel;LogistRegression;Our;4;AF;ADA;0.9188255613;0.6915744854;0.9384871232;0.9188255613;0.8974358974;0.9195710456;0.9085034715
commons-bcel;LogistRegression;Our;4;StEv;ADA;0.9179620035;0.6900384599;0.9379311357;0.9179620035;0.8974358974;0.9186773905;0.908056644
commons-bcel;LogistRegression;Our;4;StEv;SMOTE;0.9179620035;0.6900384599;0.9379311357;0.9179620035;0.8974358974;0.9186773905;0.908056644
commons-bcel;RandomForest;Our;4;EvSm;ROS;0.9861830743;0.8964221825;0.9863496065;0.9861830743;0.8205128205;0.9919571046;0.9062349625
commons-bcel;MLP;Our;4;AF;SMOTE;0.9784110535;0.8539376296;0.9796918839;0.9784110535;0.8205128205;0.9839142091;0.9022135148
commons-bcel;MLP;Our;4;StEv;ADA;0.9766839378;0.8455809359;0.9782812565;0.9766839378;0.8205128205;0.982126899;0.9013198598
commons-bcel;DT;Our;4;AF;SMOTE;0.9766839378;0.8455809359;0.9782812565;0.9766839378;0.8205128205;0.982126899;0.9013198598
commons-bcel;MLP;Our;4;AF;ROS;0.97582038;0.8415311229;0.9775840287;0.97582038;0.8205128205;0.981233244;0.9008730322
commons-bcel;MLP;Our;4;Ev;ADA;0.948;0.748;0.957;0.948;0.846;0.952;0.899
commons-bcel;LogistRegression;Our;4;Ev;ROS;0.800;0.568;0.863;0.800;1.000;0.793;0.896
commons-bcel;LogistRegression;Our;4;AF;SMOTE;0.9162348877;0.6835129538;0.9366244227;0.9162348877;0.8717948718;0.9177837355;0.8947893036
commons-bcel;LogistRegression;Our;4;Ev;NONE;0.789;0.560;0.856;0.789;1.000;0.782;0.891
commons-bcel;LogistRegression;Our;4;AF;NONE;0.9067357513;0.6679481733;0.9305658762;0.9067357513;0.8717948718;0.9079535299;0.8898742009
commons-bcel;LogistRegression;Our;4;StEv;NONE;0.9058721934;0.6666111996;0.9300177983;0.9058721934;0.8717948718;0.9070598749;0.8894273733
commons-bcel;LogistRegression;Our;4;EvSm;ROS;0.8333333333;0.5914806346;0.884635421;0.8333333333;0.9487179487;0.8293118856;0.8890149172
commons-bcel;MLP;Our;4;AF;ADA;0.9766839378;0.84225264;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;MLP;Our;4;StEv;ROS;0.9766839378;0.84225264;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;MLP;Our;4;StEv;SMOTE;0.9766839378;0.84225264;0.9780672346;0.9766839378;0.7948717949;0.9830205541;0.8889461745
commons-bcel;MLP;Our;4;Ev;SMOTE;0.951;0.751;0.959;0.951;0.821;0.955;0.888
commons-bcel;RandomForest;Our;4;StEv;SMOTE;0.9861830743;0.8911654135;0.9860074409;0.9861830743;0.7692307692;0.9937444147;0.8814875919
commons-bcel;DT;Our;4;StEv;ROS;0.9835924007;0.8755000764;0.9836925789;0.9835924007;0.7692307692;0.9910634495;0.8801471094
commons-bcel;DT;Our;4;EvSm;SMOTE;0.9715025907;0.815158243;0.9737046237;0.9715025907;0.7692307692;0.9785522788;0.873891524
commons-bcel;RandomForest;Our;4;StEv;ROS;0.98791019;0.8996583482;0.9874226107;0.98791019;0.7435897436;0.9964253798;0.8700075617
commons-bcel;RandomForest;Our;4;AF;SMOTE;0.9844559585;0.8775610902;0.984258371;0.9844559585;0.7435897436;0.9928507596;0.8682202516
commons-bcel;RandomForest;Our;4;AF;ADA;0.9835924007;0.872380411;0.9834895219;0.9835924007;0.7435897436;0.9919571046;0.8677734241
commons-bcel;LogistRegression;Our;4;Ev;ADA;0.791;0.557;0.857;0.791;0.949;0.786;0.867
commons-bcel;MLP;Our;4;AF;NONE;0.9801381693;0.8528792775;0.9804926509;0.9801381693;0.7435897436;0.9883824844;0.865986114
commons-bcel;MLP;Our;4;StEv;NONE;0.9792746114;0.8482870057;0.9797615542;0.9792746114;0.7435897436;0.9874888293;0.8655392865
commons-bcel;MLP;Our;4;EvSm;ADA;0.9542314335;0.7534576744;0.9609559135;0.9542314335;0.7692307692;0.9606791778;0.8649549735
commons-bcel;LogistRegression;Our;4;Ev;SMOTE;0.810;0.569;0.870;0.810;0.923;0.806;0.865
commons-bcel;LogistRegression;Our;4;EvSm;NONE;0.8272884283;0.5807537743;0.8805932184;0.8272884283;0.8974358974;0.8248436104;0.8611397539
commons-bcel;RandomForest;Our;4;AF;ROS;0.9853195164;0.8797720763;0.9848331227;0.9853195164;0.7179487179;0.9946380697;0.8562933938
commons-bcel;RandomForest;Our;4;StEv;ADA;0.9844559585;0.8743641054;0.9840497155;0.9844559585;0.7179487179;0.9937444147;0.8558465663
commons-bcel;DT;Our;4;EvSm;ROS;0.97582038;0.8270609319;0.9766514383;0.97582038;0.7179487179;0.9848078642;0.8513782911
commons-bcel;DT;Our;4;Ev;SMOTE;0.965;0.783;0.969;0.965;0.718;0.974;0.846
commons-bcel;DT;Our;4;AF;ROS;0.981865285;0.8553145917;0.981514729;0.981865285;0.6923076923;0.9919571046;0.8421323984
commons-bcel;LogistRegression;Our;4;EvSm;SMOTE;0.8359240069;0.5827897451;0.8858773313;0.8359240069;0.8461538462;0.835567471;0.8408606586
commons-bcel;DT;Our;4;AF;NONE;0.9792746114;0.8407919159;0.9792746114;0.9792746114;0.6923076923;0.9892761394;0.8407919159
commons-bcel;DT;Our;4;AF;ADA;0.9715025907;0.802942405;0.9729190628;0.9715025907;0.6923076923;0.981233244;0.8367704681
commons-bcel;RandomForest;Our;4;Ev;SMOTE;0.968;0.788;0.970;0.968;0.692;0.978;0.835
commons-bcel;RandomForest;Our;4;AF;NONE;0.9887737478;0.8971123945;0.9876835396;0.9887737478;0.6666666667;1;0.8333333333
commons-bcel;RandomForest;Our;4;StEv;NONE;0.98791019;0.8908282828;0.9868433558;0.98791019;0.6666666667;0.999106345;0.8328865058
commons-bcel;DT;Our;4;StEv;NONE;0.9801381693;0.841535029;0.979754227;0.9801381693;0.6666666667;0.9910634495;0.8288650581
commons-bcel;DT;Our;4;StEv;ADA;0.9775474957;0.8275245755;0.9775474957;0.9775474957;0.6666666667;0.9883824844;0.8275245755
commons-bcel;DT;Our;4;Ev;ROS;0.973;0.806;0.974;0.973;0.667;0.984;0.825
commons-bcel;LogistRegression;Our;4;EvSm;ADA;0.8333333333;0.5747466963;0.8840197505;0.8333333333;0.7948717949;0.8346738159;0.8147728054
commons-bcel;RandomForest;Our;4;Ev;ROS;0.978;0.819;0.977;0.978;0.615;0.990;0.803
commons-bcel;RandomForest;Our;4;Ev;ADA;0.969;0.778;0.970;0.969;0.615;0.981;0.798
commons-bcel;DT;Our;4;EvSm;ADA;0.9654576857;0.763750612;0.9673427985;0.9654576857;0.6153846154;0.9776586238;0.7965216196
commons-bcel;DT;Our;4;Ev;NONE;0.973;0.792;0.973;0.973;0.590;0.987;0.788
commons-bcel;MLP;Our;4;StSm;ROS;0.8851468048;0.609334534;0.9154776507;0.8851468048;0.6666666667;0.8927613941;0.7797140304
commons-bcel;DT;Our;4;St;SMOTE;0.933;0.673;0.945;0.933;0.615;0.944;0.780
commons-bcel;DT;Our;4;Ev;ADA;0.956;0.726;0.960;0.956;0.590;0.969;0.779
commons-bcel;LogistRegression;Our;4;StSm;ADA;0.7875647668;0.5368451858;0.8546587392;0.7875647668;0.7692307692;0.7882037534;0.7787172613
commons-bcel;MLP;Our;4;St;ADA;0.905;0.631;0.928;0.905;0.641;0.914;0.778
commons-bcel;LogistRegression;Our;4;St;ROS;0.805;0.547;0.866;0.805;0.744;0.807;0.775
commons-bcel;DT;Our;4;EvSm;NONE;0.9689119171;0.7669499106;0.9692866147;0.9689119171;0.5641025641;0.9830205541;0.7735615591
